lwage,yob,draftelig,veteran
5.9011002,50,0,0
5.9148998,50,0,1
5.2877998,50,0,1
5.836,50,0,0
4.1815,50,0,0
5.4323001,50,0,0
5.3713002,50,0,0
5.5145998,50,0,0
4.9524002,50,1,1
5.7599001,50,0,0
4.0105,50,0,0
5.9563999,50,1,1
6.8818998,50,1,1
6.5218,50,0,1
5.4077001,50,1,0
4.8860002,50,0,0
5.4808002,50,0,1
5.6259999,50,0,0
5.9250998,50,0,1
5.3446002,50,0,0
5.6374002,50,0,1
4.8670001,50,0,0
5.6736002,50,0,0
4.9555998,50,0,1
5.8431001,50,0,0
6.4006,50,0,0
5.8014002,50,0,0
4.9587998,50,0,1
4.7796998,50,0,1
5.1043,50,0,0
5.2073002,50,0,0
5.4349999,50,0,0
5.3362002,50,0,1
5.0688,50,0,0
5.1424999,50,1,0
5.4250002,50,1,0
5.8415999,50,0,0
5.3369999,50,1,0
4.7695999,50,0,0
6.1280999,50,0,0
6.0254002,50,0,0
5.934,50,0,0
5.4863,50,0,1
4.9471002,50,0,0
5.3762002,50,1,0
5.0837998,50,1,0
6.4113002,50,0,0
5.7501001,50,0,0
5.7291002,50,0,0
5.7516999,50,1,0
5.9563999,50,1,1
5.8965998,50,0,1
5.2191,50,1,0
5.0106001,50,0,0
4.8670001,50,0,0
5.7863998,50,0,0
5.4029002,50,0,0
3.6851001,50,0,0
5.6041002,50,0,1
5.3660002,50,0,0
6.1198001,50,0,0
5.4029002,50,0,0
5.9562998,50,1,0
5.6199002,50,0,0
5.0581999,50,0,0
5.4358001,50,0,0
5.8225002,50,1,0
5.1287999,50,0,0
6.0323,50,0,1
6.0096002,50,0,1
4.9512,50,0,1
5.5135999,50,0,0
6.2681999,50,1,0
5.0966001,50,0,0
5.6686001,50,0,1
5.7108998,50,0,0
4.5380998,50,0,0
5.8023,50,0,0
5.9805002,50,0,1
5.8832998,50,0,0
6.3333001,50,0,1
5.7953,50,0,0
5.7672,50,1,0
5.7863998,50,0,1
5.9354,50,0,0
5.9001002,50,0,0
5.3968,50,1,0
6.0591998,50,0,0
4.9745002,50,1,0
5.7108998,50,0,0
5.9984999,50,0,0
5.6286998,50,0,0
5.2873001,50,0,0
5.0555,50,0,0
5.0966001,50,0,1
5.243,50,0,0
5.5556002,50,1,1
5.2273998,50,1,0
6.6241002,50,0,1
5.4614,50,0,0
5.7108998,50,0,0
5.3266001,50,0,1
6.1283002,50,0,0
5.8569002,50,0,1
6.6648998,50,0,0
6.1795998,50,0,0
5.3116999,50,1,1
5.9656,50,0,0
4.9024,50,0,0
5.5124002,50,0,1
6.0458999,50,0,0
6.6588001,50,0,0
5.6918001,50,0,1
6.2533002,50,0,0
6.2020001,50,1,0
5.8023,50,0,0
.65390003,50,0,0
5.8431001,50,0,0
5.6687002,50,1,0
4.1792002,50,0,0
5.8649998,50,0,0
5.1044002,50,0,1
5.9004002,50,0,0
6.1055002,50,0,0
5.0250001,50,1,0
5.934,50,0,1
5.3053999,50,0,1
6.1506,50,0,0
5.105,50,1,0
5.7823,50,1,0
5.9661002,50,0,1
5.6668,50,0,0
5.5906,50,0,0
5.9124999,50,0,0
5.5773001,50,0,1
5.3369999,50,0,0
4.8618999,50,0,0
4.9966998,50,0,1
6.0938001,50,0,0
5.8813,50,1,0
3.6642001,50,0,0
4.4646001,50,1,0
5.2069998,50,1,1
5.2632999,50,0,0
5.7396002,50,0,0
5.1090999,50,1,0
5.7953,50,0,0
5.9404998,50,0,0
6.3021002,50,0,0
5.7947001,50,1,0
4.9587998,50,0,0
5.8439999,50,0,0
3.5199001,50,0,0
6.0882001,50,0,0
5.4414001,50,0,1
5.8603001,50,0,0
5.4864001,50,1,0
5.5595002,50,0,1
4.8417001,50,1,0
5.1712999,50,0,0
5.5556002,50,0,1
5.3369999,50,0,0
5.7487998,50,1,0
5.5997,50,0,1
5.9317002,50,0,1
5.2073002,50,0,0
6.3130999,50,1,0
5.3660002,50,1,0
6.5362,50,0,0
5.8737998,50,0,0
6.1199999,50,1,1
2.2916,50,0,0
5.9349999,50,0,0
5.5816002,50,0,1
5.6199002,50,1,0
5.6659999,50,0,0
5.0107999,50,1,1
5.9656,50,0,0
5.7617002,50,1,1
5.6978998,50,1,0
4.0551,50,0,0
5.8469,50,1,0
5.1985998,50,0,0
5.3968,50,0,0
5.4949999,50,0,0
4.6279998,50,1,0
4.2907,50,1,1
5.8572998,50,0,0
5.0977998,50,0,0
5.7168999,50,0,0
4.6683002,50,0,0
5.9308,50,0,0
5.2631001,50,0,0
4.8613,50,1,0
5.6307001,50,0,1
5.4349999,50,0,1
5.4812999,50,0,0
5.5602002,50,0,0
5.7719002,50,0,1
4.3642998,50,0,0
5.9846001,50,0,1
4.73,50,0,0
4.6033001,50,0,0
5.5741,50,0,0
6.5560002,50,0,1
4.7930999,50,0,0
6.1506,50,1,0
5.9562998,50,0,0
5.3968,50,0,1
6.1880999,50,1,0
5.6687002,50,0,1
6.0458999,50,0,0
5.8285999,50,0,0
5.4667001,50,1,1
5.2873001,50,0,1
5.8821998,50,0,0
5.4762001,50,0,0
5.4337001,50,0,0
5.9004002,50,0,0
6.092,50,0,0
5.1202002,50,1,1
5.7897,50,0,0
5.4917998,50,0,0
6.6922998,50,1,0
5.3663001,50,0,1
5.2195001,50,1,0
6.2020001,50,0,0
5.8916998,50,0,0
5.6778002,50,0,0
5.6348,50,0,1
6.3456001,50,0,0
5.6683002,50,0,0
5.7599001,50,0,1
4.8354001,50,0,1
6.2617998,50,0,0
4.8354001,50,0,0
5.1801,50,0,0
6.1245999,50,1,1
5.4394999,50,0,0
6.0545998,50,0,0
6.3614998,50,0,1
7.0956998,50,0,0
4.4510999,50,1,1
5.8649998,50,0,0
5.2873001,50,1,1
5.3053999,50,0,0
5.6686001,50,0,0
5.5351,50,0,0
6.0179,50,0,1
5.0159998,50,0,0
5.2591,50,1,0
6.2305999,50,0,0
5.4414001,50,0,0
6.7828002,50,0,0
5.4984002,50,0,0
5.6683002,50,1,1
5.4123001,50,0,0
.0559,50,0,0
5.7094002,50,1,0
5.9245,50,0,0
5.461,50,0,0
5.2378001,50,0,1
4.6824999,50,0,0
5.5453,50,0,0
4.1928,50,0,0
5.7181001,50,0,0
5.6999002,50,0,0
5.4341998,50,1,1
5.8649998,50,0,0
5.9836001,50,1,1
5.901,50,0,1
5.6687002,50,1,0
6.2146001,50,0,0
5.3660002,50,0,0
5.9563999,50,0,0
4.0405998,50,0,0
5.5285001,50,0,1
5.4303999,50,0,0
3.7228,50,0,0
5.7171998,50,1,1
5.757,50,0,0
5.3544002,50,0,0
6.4447999,50,0,0
4.4647999,50,0,1
5.7181001,50,0,1
5.3079,50,0,0
5.4436002,50,0,0
4.5411,50,0,1
